Date,SPY
2011-01-31,98.73069763183594
2011-02-01,100.31122589111328
2011-02-02,100.11947631835938
2011-02-03,100.34194946289062
2011-02-04,100.62584686279295
2011-02-07,101.25502014160156
2011-02-08,101.71534729003906
2011-02-09,101.48517608642578
2011-02-10,101.5235366821289
2011-02-11,102.12964630126952
2011-02-14,102.37517547607422
2011-02-15,102.05294799804688
2011-02-16,102.69743347167967
2011-02-17,103.00431060791016
2011-02-18,103.21917724609376
2011-02-22,101.14756774902344
2011-02-23,100.52606201171876
2011-02-24,100.45704650878906
2011-02-25,101.53123474121094
2011-02-28,102.1603546142578
2011-03-01,100.45704650878906
2011-03-02,100.67186737060548
2011-03-03,102.4058609008789
2011-03-04,101.63858795166016
2011-03-07,100.84063720703124
2011-03-08,101.72303009033205
2011-03-09,101.5772476196289
2011-03-10,99.69743347167967
2011-03-11,100.38797760009766
2011-03-14,99.7818603515625
2011-03-15,98.6386489868164
2011-03-16,96.81257629394533
2011-03-17,98.09388732910156
2011-03-18,98.4506607055664
2011-03-21,99.97645568847656
2011-03-22,99.62965393066406
2011-03-23,99.914794921875
2011-03-24,100.87030029296876
2011-03-25,101.17852783203124
2011-03-28,100.93195343017578
2011-03-29,101.61012268066406
2011-03-30,102.31131744384766
2011-03-31,102.172607421875
2011-04-01,102.60415649414062
2011-04-04,102.68890380859376
2011-04-05,102.67351531982422
2011-04-06,102.99713897705078
2011-04-07,102.73514556884766
2011-04-08,102.38066864013672
2011-04-11,102.07244873046876
2011-04-12,101.30953979492188
2011-04-13,101.30184173583984
2011-04-14,101.37889099121094
2011-04-15,101.74879455566406
2011-04-18,100.6083526611328
2011-04-19,101.18624114990234
2011-04-20,102.5656509399414
2011-04-21,103.08963012695312
2011-04-25,102.9817352294922
2011-04-26,103.86791229248048
2011-04-27,104.54601287841795
2011-04-28,104.88509368896484
2011-04-29,105.1317138671875
2011-05-02,104.9698715209961
2011-05-03,104.59225463867188
2011-05-04,103.89874267578124
2011-05-05,102.95861053466795
2011-05-06,103.41327667236328
2011-05-09,103.81395721435548
2011-05-10,104.7001495361328
2011-05-11,103.59822845458984
2011-05-12,104.09142303466795
2011-05-13,103.28997039794922
2011-05-16,102.63497161865234
2011-05-17,102.6195831298828
2011-05-18,103.53655242919922
2011-05-19,103.78318786621094
2011-05-20,102.95861053466795
2011-05-23,101.76422882080078
2011-05-24,101.67945861816406
2011-05-25,102.01850128173828
2011-05-26,102.48860168457033
2011-05-27,102.88155364990234
2011-05-31,103.9526596069336
2011-06-01,101.61779022216795
2011-06-02,101.50990295410156
2011-06-03,100.50042724609376
2011-06-06,99.4369888305664
2011-06-07,99.37538146972656
2011-06-08,98.9592742919922
2011-06-09,99.71443176269533
2011-06-10,98.3273696899414
2011-06-13,98.4044189453125
2011-06-14,99.65277862548828
2011-06-15,97.88043975830078
2011-06-16,98.09622192382812
2011-06-17,98.38892364501952
2011-06-20,98.8922882080078
2011-06-21,100.2475357055664
2011-06-22,99.64346313476562
2011-06-23,99.3569107055664
2011-06-24,98.2030792236328
2011-06-27,99.07816314697266
2011-06-28,100.37141418457033
2011-06-29,101.23101043701172
2011-06-30,102.19903564453124
2011-07-01,103.70912170410156
2011-07-05,103.6239242553711
2011-07-06,103.74787902832033
2011-07-07,104.82425689697266
2011-07-08,104.08084106445312
2011-07-11,102.19903564453124
2011-07-12,101.75760650634766
2011-07-13,102.0983428955078
2011-07-14,101.39363098144533
2011-07-15,101.9822006225586
2011-07-18,101.14583587646484
2011-07-19,102.7875518798828
2011-07-20,102.72560119628906
2011-07-21,104.15054321289062
2011-07-22,104.22024536132812
2011-07-25,103.6394500732422
2011-07-26,103.252197265625
2011-07-27,101.13810729980467
2011-07-28,100.84381866455078
2011-07-29,100.15457153320312
2011-08-01,99.7286376953125
2011-08-02,97.18084716796876
2011-08-03,97.70745849609376
2011-08-04,93.1306610107422
2011-08-05,92.99130249023438
2011-08-08,86.93537902832031
2011-08-09,90.9778289794922
2011-08-10,86.9585952758789
2011-08-11,90.86166381835938
2011-08-12,91.47344970703124
2011-08-15,93.40947723388672
2011-08-16,92.61181640625
2011-08-17,92.67377471923828
2011-08-18,88.67781066894531
2011-08-19,87.22966766357422
2011-08-22,87.29935455322266
2011-08-23,90.17241668701172
2011-08-24,91.44245910644533
2011-08-25,90.04852294921875
2011-08-26,91.35726165771484
2011-08-29,93.98253631591795
2011-08-30,94.23033142089844
2011-08-31,94.64852905273438
2011-09-01,93.65730285644533
2011-09-02,91.26435089111328
2011-09-06,90.59832763671876
2011-09-07,93.15390014648438
2011-09-08,92.1858901977539
2011-09-09,89.76972961425781
2011-09-12,90.35052490234376
2011-09-13,91.17916107177734
2011-09-14,92.4414520263672
2011-09-15,94.0367431640625
2011-09-16,94.5933074951172
2011-09-19,93.65142822265624
2011-09-20,93.54242706298828
2011-09-21,90.7868194580078
2011-09-22,87.8521728515625
2011-09-23,88.38152313232422
2011-09-26,90.48326110839844
2011-09-27,91.49519348144533
2011-09-28,89.62703704833984
2011-09-29,90.3353271484375
2011-09-30,88.07795715332031
2011-10-03,85.57145690917969
2011-10-04,87.44742584228516
2011-10-05,89.06654357910156
2011-10-06,90.67786407470705
2011-10-07,90.07067108154297
2011-10-10,93.08316802978516
2011-10-11,93.17658996582033
2011-10-12,93.99392700195312
2011-10-13,93.8071060180664
2011-10-14,95.41064453125
2011-10-17,93.58914947509766
2011-10-18,95.4184341430664
2011-10-19,94.28972625732422
2011-10-20,94.70228576660156
2011-10-21,96.50043487548828
2011-10-24,97.68362426757812
2011-10-25,95.78428649902344
2011-10-26,96.7573013305664
2011-10-27,100.12783813476562
2011-10-28,100.10450744628906
2011-10-31,97.69139862060548
2011-11-01,94.96693420410156
2011-11-02,96.51600646972656
2011-11-03,98.27517700195312
2011-11-04,97.6758270263672
2011-11-07,98.28299713134766
2011-11-08,99.54403686523438
2011-11-09,95.86991119384766
2011-11-10,96.77288055419922
2011-11-11,98.59439086914062
2011-11-14,97.66026306152344
